direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source
SERVER,143,6,0x015c1180,0x015c11a8,FUN_00119e20,BINDER
SERVER,144,2,0x015c1140,0x015c1168,FUN_00119c30,BINDER
SERVER,145,2,0x013a09e0,0x013a0a08,FUN_00187890,BINDER
SERVER,146,2,0x015c1040,0x015c1068,FUN_000f98f0,BINDER
SERVER,147,10,0x015c1640,0x015c1668,FUN_000ef710_VARP_LONG,BINDER
SERVER,148,2,0x015c0380,0x015c03a8,IF_CLOSESUB_BY_ID,BINDER
SERVER,149,6,0x015c1080,0x015c10a8,FUN_000f9a20,BINDER
SERVER,150,3,0x013a09a0,0x013a09c8,FUN_001db620,BINDER
SERVER,151,21,0x015c1d40,0x015c1d68,PROJANIM_SPECIFIC,BINDER
SERVER,152,-1,0x013a0960,0x013a0988,packethandlers::Interfaces::IF_SET_HTTP_IMAGE,BINDER
SERVER,153,4,0x013a0920,0x013a0948,FUN_001dc100,BINDER
SERVER,154,5,0x013a08e0,0x013a0908,FUN_001de6b0,BINDER
SERVER,155,0,0x013a08a0,0x013a08c8,packethandlers::Misc::LOGOUT,BINDER
SERVER,156,1,0x013a0860,0x013a0888,packethandlers::Chat::SET_CHAT_FILTER_B,BINDER
SERVER,157,1,0x013a0820,0x013a0848,FUN_00173a50,BINDER
SERVER,158,9,0x015c04c0,0x015c04e8,IF_SETSCROLLSIZE,BINDER
SERVER,159,-2,0x013a07e0,0x013a0808,FUN_000ec3a0,BINDER
SERVER,160,9,0x013a07a0,0x013a07c8,FUN_001d76a0,BINDER
SERVER,161,-2,0x013a0760,0x013a0788,packethandlers::PlayerGroup::UPDATE_PLAYER_GROUP,BINDER
SERVER,162,0,0x013a0720,0x013a0748,packethandlers::ClientState::TRIGGER_ONDIALOGABORT,BINDER
SERVER,163,15,0x013a06e0,0x013a0708,packethandlers::ZoneUpdates::SPOTANIM_ENTITY_2,BINDER
SERVER,164,28,0x015c1880,0x015c18a8,MAP_PROJANIM_HALT,BINDER
SERVER,165,14,0x015c05c0,0x015c05e8,IF_SETMODEL_COORD,BINDER
SERVER,166,5,0x015c1200,0x015c1228,WORLDENTITY_ADD,BINDER
SERVER,167,12,0x013a06a0,0x013a06c8,packethandlers::Audio::SYNTH_SOUND,BINDER
SERVER,168,-1,0x015c1900,0x015c1928,SOUND_AREA,BINDER
SERVER,169,8,0x013a0660,0x013a0688,packethandlers::Misc::SERVER_TICK_END,BINDER
SERVER,170,5,0x015c1980,0x015c19a8,LOC_MERGE,BINDER
SERVER,171,3,0x015c0fc0,0x015c0fe8,FUN_000ef800,BINDER
SERVER,172,1,0x015c0dc0,0x015c0de8,FUN_000f03f0,BINDER
SERVER,173,-2,0x013a0620,0x013a0648,packethandlers::ZoneUpdates::UNKNOWN_op173_handler,BINDER
SERVER,174,8,0x013a05e0,0x013a0608,HandleAntiCheatChallenge,BINDER
SERVER,175,-1,0x013a05a0,0x013a05c8,packethandlers::Chat::MESSAGE_PRIVATE_ECHO,BINDER
SERVER,176,3,0x015c0e00,0x015c0e28,Misc::SET_INTERACTION_FLAG_D,BINDER
SERVER,177,29,0x015c1800,0x015c1828,PROJANIM_SPECIFIC_HALT,BINDER
SERVER,178,-2,0x015c0d40,0x015c0d68,PlayerInfo::UPDATE_PLAYER_CHAT,BINDER
SERVER,179,9,0x015c0500,0x015c0528,IF_SETSCROLLPOS,BINDER
SERVER,180,5,0x015c0800,0x015c0828,IF_SETOBJECT_SMALL,BINDER
SERVER,181,4,0x013a0560,0x013a0588,FUN_00186b60,BINDER
SERVER,182,3,0x013a0520,0x013a0548,FUN_001dbb80,BINDER
SERVER,183,14,0x015c1780,0x015c17a8,MAP_ANIM_SPECIFIC,BINDER
SERVER,184,4,0x015c0cc0,0x015c0ce8,Misc::SET_SYSUPDATE_TIMER,BINDER
SERVER,185,-1,0x013a04e0,0x013a0508,packethandlers::Chat::MESSAGE_PRIVATE,BINDER
SERVER,186,-2,0x015c1240,0x015c1268,REBUILD_WORLDENTITY,BINDER
SERVER,187,1,0x013a04a0,0x013a04c8,FUN_00173cd0,BINDER
SERVER,188,-2,0x013a0460,0x013a0488,FUN_000f7090,BINDER
SERVER,189,4,0x013a0420,0x013a0448,packethandlers::Audio::VORBIS_PRELOAD,BINDER
SERVER,190,0,0x015c13c0,0x015c13e8,CLEAR_PENDING_UPDATES,BINDER
SERVER,191,4,0x013a03e0,0x013a0408,FUN_00186be0,BINDER
SERVER,192,1,0x013a03a0,0x013a03c8,FUN_00173de0,BINDER
SERVER,193,1,0x015c0d00,0x015c0d28,Misc::SET_INTERACTION_FLAG_C,BINDER
SERVER,194,1,0x015c11c0,0x015c11e8,FUN_000efa80,BINDER
SERVER,195,4,0x013a0360,0x013a0388,packethandlers::Audio::SOUND_AREA_SYNTH_2,BINDER
SERVER,196,10,0x015c1500,0x015c1528,FUN_000ef620_CLIENT_SETVARC_LONG,BINDER
SERVER,197,-2,0x013a0320,0x013a0348,packethandlers::Misc::SKIP_DATA,BINDER
SERVER,198,-1,0x013a02e0,0x013a0308,packethandlers::Misc::UPDATE_URL_STRING,BINDER
SERVER,199,-2,0x015c1280,0x015c12a8,REBUILD_NORMAL,BINDER
SERVER,200,2,0x013a02a0,0x013a02c8,packethandlers::Audio::SOUND_GROUP_STOP,BINDER
SERVER,201,3,0x015c1100,0x015c1128,FUN_000ef970,BINDER
SERVER,202,-2,0x013a0260,0x013a0288,packethandlers::PlayerInfo::PLAYER_INFO_DECODE_2,BINDER
SERVER,203,3,0x013a0220,0x013a0248,FUN_001dd3e0,BINDER
SERVER,204,1,0x015c0d80,0x015c0da8,FUN_000f0380,BINDER
SERVER,205,6,0x013a01e0,0x013a0208,packethandlers::Audio::SOUND_GROUP_SPEED,BINDER
SERVER,206,5,0x015c0480,0x015c04a8,IF_SETNPCHEAD_ACTIVE,BINDER
SERVER,207,3,0x015c10c0,0x015c10e8,FUN_00119b80,BINDER
SERVER,208,-2,0x013a01a0,0x013a01c8,packethandlers::Inventory::UPDATE_INV_GROUP,BINDER
SERVER,209,-2,0x013a0160,0x013a0188,packethandlers::NPCInfo::NPC_INFO_thunk_worldentity,BINDER
SERVER,210,6,0x013a0120,0x013a0148,packethandlers::Audio::VORBIS_SONG,BINDER
SERVER,211,33,0x013a00e0,0x013a0108,packethandlers::ZoneUpdates::MAP_PROJANIM_FULL_2,BINDER
SERVER,212,-1,0x013a00a0,0x013a00c8,packethandlers::WorldData::SET_WORLD_TARGET,BINDER
SERVER,213,-1,0x013a0060,0x013a0088,packethandlers::WorldData::SWITCH_WORLD,BINDER
SERVER,214,0,0x013a0020,0x013a0048,FUN_00182650,BINDER
SERVER,215,8,0x0139ffe0,0x013a0008,FUN_001deaa0,BINDER
SERVER,216,-2,0x0139ffa0,0x0139ffc8,packethandlers::WorldData::WORLDLIST_FETCH_REPLY,BINDER
SERVER,217,4,0x0139ff60,0x0139ff88,packethandlers::Audio::SOUND_MODIFY,BINDER
CLIENT,0,-1,0x015d3ea0,,FUN_00280610,BINDER
CLIENT,1,-1,0x015d3e90,,SendOpNpcCS2,BINDER
CLIENT,2,9,0x015d3e80,,FUN_0015c7b0,BINDER
CLIENT,3,9,0x015d3e70,,SendSceneGraphReport,BINDER
CLIENT,4,-1,0x015d3e60,,UNBOUND,UNBOUND
CLIENT,5,4,0x015d3e50,,SendIfButtonD,BINDER
CLIENT,6,7,0x015d3e40,,SendOpLocU,BINDER
CLIENT,7,4,0x015d3e30,,SendOpTargetOption_CS2,BINDER
CLIENT,8,4,0x015d3e20,,SendMultiDisplayPackets,BINDER
CLIENT,9,12,0x015d3e10,,SendOpLocU,BINDER
CLIENT,10,16,0x015d3e00,0x01365960,0x01365960->IfButtonXInner,CS2_TABLE
CLIENT,11,3,0x015d3df0,,FUN_0015c3d0,BINDER
CLIENT,12,-1,0x015d3de0,,SendMultiDisplayPackets,BINDER
CLIENT,13,8,0x015d3dd0,,SendNoTimeout,BINDER
CLIENT,14,0,0x015d3dc0,,SendEventMouseClick,BINDER
CLIENT,15,6,0x015d3db0,,FUN_002956e0,BINDER
CLIENT,16,6,0x015d3da0,,movescripted,BINDER
CLIENT,17,5,0x015d3d90,,SendOpLocTLong,BINDER
CLIENT,18,17,0x015d3d80,,UNBOUND,UNBOUND
CLIENT,19,9,0x015d3d70,,SendOpObjCS2_2,BINDER
CLIENT,20,-1,0x015d3d60,0x01365958,0x01365958->IfButtonXInner,CS2_TABLE
CLIENT,21,8,0x015d3d50,0x01365968,0x01365968->IfButtonXInner,CS2_TABLE
CLIENT,22,3,0x015d3d40,,SendIfButtonN_CS2,BINDER
CLIENT,23,8,0x015d3d30,,SendOpTargetOption_CS2,BINDER
CLIENT,24,7,0x015d3d20,,SendOpTargetOption_CS2,BINDER
CLIENT,25,11,0x015bfb40,,FUN_00aeeb30,BINDER
CLIENT,26,-2,0x015d3d10,,SendResumeCountDialog,BINDER
CLIENT,27,1,0x015d3d00,,UNBOUND,UNBOUND
CLIENT,28,4,0x015d3cf0,,DoOpLoc,BINDER
CLIENT,29,4,0x015d3ce0,,SendPingStatistics,BINDER
CLIENT,30,8,0x015d3cd0,0x01365940,0x01365940->IfButtonXInner,CS2_TABLE
CLIENT,31,3,0x015d3cc0,,FUN_0015c450,BINDER
CLIENT,32,3,0x015d3cb0,,FUN_0015c430,BINDER
CLIENT,33,3,0x015d3ca0,,SendIfButtonN_CS2,BINDER
CLIENT,34,15,0x015d3c90,,UNBOUND,UNBOUND
CLIENT,35,-1,0x015d3c80,,IfButtonXInner,BINDER
CLIENT,36,7,0x015d3c70,,SendOpTargetOption_CS2,BINDER
CLIENT,37,0,0x015d3c60,,SendQueuedPacket,BINDER
CLIENT,38,-2,0x015d3c50,,SendMessagePrivate,BINDER
CLIENT,39,3,0x015d3c40,,SendIfButtonN_CS2,BINDER
CLIENT,40,3,0x015d3c30,,SendIfButtonN_CS2,BINDER
CLIENT,41,9,0x015d3c20,,FUN_0015c7f0,BINDER
CLIENT,42,-1,0x015d3c10,,FUN_002d0490,BINDER
CLIENT,43,8,0x015d3c00,0x01365950,0x01365950->IfButtonXInner,CS2_TABLE
CLIENT,44,4,0x015d3bf0,,SendStrtol,BINDER
CLIENT,45,8,0x015d3be0,0x01365938,0x01365938->IfButtonXInner,CS2_TABLE
CLIENT,46,1,0x015d3bd0,,UNBOUND,UNBOUND
CLIENT,47,3,0x015d3bc0,,SendIfButtonN_CS2,BINDER
CLIENT,48,-1,0x015d3bb0,,FUN_00172900,BINDER
CLIENT,49,-1,0x015d3ba0,,SendOpObjCS2,BINDER
CLIENT,50,3,0x015d3b90,,SendIfButtonN_CS2,BINDER
CLIENT,51,0,0x015d3b80,,ProcessConnections,BINDER
CLIENT,52,6,0x015d3b70,,SendDisplayInfo,BINDER
CLIENT,53,15,0x015d3b60,,FUN_0015bcf0,BINDER
CLIENT,54,4,0x015d3b50,,SendWorldlistFetch,BINDER
CLIENT,55,11,0x015d3b40,,FUN_0015bad0,BINDER
CLIENT,56,3,0x015d3b30,,SendIfButtonN_CS2,BINDER
CLIENT,57,2,0x015d3b20,,SendAffinedTransformSet_Main,BINDER
CLIENT,58,-2,0x015d3b10,,SendMoveGame,BINDER
CLIENT,59,4,0x015d3b00,,SendDetectModifiedClient,BINDER
CLIENT,60,-1,0x015d3af0,,FUN_002d02a0,BINDER
CLIENT,61,16,0x015d3ae0,,SendIfButtonT,BINDER
CLIENT,62,1,0x015d3ad0,,UNBOUND,UNBOUND
CLIENT,63,3,0x015d3ac0,,FUN_0015c3f0,BINDER
CLIENT,64,7,0x015d3ab0,,SendOpTargetOption_CS2,BINDER
CLIENT,65,4,0x015d3aa0,,FUN_002383e0,BINDER
CLIENT,66,0,0x015d3a90,,SendCloseModal,BINDER
CLIENT,67,18,0x015d3a80,,UNBOUND,UNBOUND
CLIENT,68,8,0x015d3a70,0x01365948,0x01365948->IfButtonXInner,CS2_TABLE
CLIENT,69,2,0x015d3a60,,FUN_002d03b0,BINDER
CLIENT,70,-1,0x015d3a50,,SendFriendlistDel,BINDER
CLIENT,71,-1,0x015d3a40,,SendResumeNameDialog,BINDER
CLIENT,72,-2,0x015d3a30,,UNBOUND,UNBOUND
CLIENT,73,3,0x015d3a20,,SendIfButtonN_CS2,BINDER
CLIENT,74,5,0x015d3a10,,SendMoveMinimapClick,BINDER
CLIENT,75,-1,0x015d3a00,,SendEncodedString2,BINDER
CLIENT,76,4,0x015d39f0,,SendEventAppletFocus,BINDER
CLIENT,77,9,0x015d39e0,,UNBOUND,UNBOUND
CLIENT,78,18,0x015d39d0,,SendMoveMinimapClick,BINDER
CLIENT,79,1,0x015d39c0,,UNBOUND,UNBOUND
CLIENT,80,-1,0x015d39b0,,SendIgnorelistAdd,BINDER
CLIENT,81,-2,0x015d39a0,,SendMultiDisplayPackets,BINDER
CLIENT,82,-2,0x015d3990,,UNBOUND,UNBOUND
CLIENT,83,-1,0x015d3980,,UNBOUND,UNBOUND
CLIENT,84,22,0x015d3970,,SendIfButtonTargetMenu,BINDER
CLIENT,85,-1,0x015d3960,,activechatphrase_sendprivate,BINDER
CLIENT,86,11,0x015d3950,,FUN_0015c100,BINDER
CLIENT,87,-1,0x015d3940,,SendMessagePublicWithEffects,BINDER
CLIENT,88,-2,0x015d3930,,SendDataReport,BINDER
CLIENT,89,-1,0x015d3920,,SendSocialRequest,BINDER
CLIENT,90,-1,0x015d3910,,UNBOUND,UNBOUND
CLIENT,91,3,0x015d3900,,SendIfButtonN_CS2,BINDER
CLIENT,92,8,0x015d38f0,0x01365930,0x01365930->IfButtonXInner,CS2_TABLE
CLIENT,93,-2,0x015d38e0,,SendVerifiedStringSend,BINDER
CLIENT,94,3,0x015d38d0,,SendWindowStatus,BINDER
CLIENT,95,4,0x015d38c0,,UNBOUND,UNBOUND
