# Per-quest MasterQuestVar dump from cache opcode 3 (primary) and opcode 4 (alt).
# Format: <questId>  <name>  | op3=[(operator,varId,value)...]  op4=[...]
#
   0  Cabin Fever                                        | op3=[]  op4=[]
 185  King of the Dwarves                                | op3=[]  op4=[(13904,10,90)]
 186  The Prisoner of Glouphrie                          | op3=[]  op4=[(9547,1,120)]
 187  Elemental Workshop IV                              | op3=[]  op4=[]
 188  A Clockwork Syringe                                | op3=[]  op4=[(9602,10,210)]
 189  Holly                                              | op3=[]  op4=[(14299,1,60)]
 190  Hawthorn                                           | op3=[]  op4=[(14302,1,3)]
 191  Deadliest Catch                                    | op3=[]  op4=[]
 192  Salt in the Wound                                  | op3=[]  op4=[]
 193  The Branches of Darkmeyer                          | op3=[]  op4=[]
 194  Ritual of the Mahjarrat                            | op3=[]  op4=[(11610,10,400)]
 195  Deathcon II                                        | op3=[]  op4=[(14413,1,15)]
 196  One Piercing Note                                  | op3=[]  op4=[(12258,10,100)]
 197  Turkey Protest                                     | op3=[]  op4=[(14641,1,25)]
 198  A Towering Feast                                   | op3=[]  op4=[]
 199  The Firemaker's Curse                              | op3=[]  op4=[]
 200  Let Them Eat Pie                                   | op3=[]  op4=[]
 201  The Elder Kiln                                     | op3=[]  op4=[]
 202  Song from the Depths                               | op3=[]  op4=[]
 203  Carnillean Rising                                  | op3=[]  op4=[]
 204  Some Like It Cold                                  | op3=[]  op4=[(9391,5,175)]
 205  Diamond in the Rough                               | op3=[]  op4=[]
 206  Stolen Hearts                                      | op3=[]  op4=[]
 207  What's Mine is Yours                               | op3=[]  op4=[]
 208  Rune Mysteries                                     | op3=[]  op4=[]
 209  Rune Memories                                      | op3=[]  op4=[]
 210  The Brink of Extinction                            | op3=[]  op4=[]
 211  A Stray in a Manger                                | op3=[]  op4=[(17574,2,15)]
 212  The World Wakes                                    | op3=[]  op4=[]
 213  Bringing Home the Bacon                            | op3=[]  op4=[]
 214  The Death of Chivalry                              | op3=[]  op4=[]
 215  Birthright of the Dwarves                          | op3=[]  op4=[(20561,10,300)]
 216  Missing, Presumed Death                            | op3=[]  op4=[]
 217  Tutorial                                           | op3=[]  op4=[]
 218  One of a Kind                                      | op3=[]  op4=[]
 219  Fate of the Gods                                   | op3=[]  op4=[]
 220  A Shadow over Ashdale                              | op3=[]  op4=[]
 221  The Mighty Fall                                    | op3=[]  op4=[]
 222  Plague's End                                       | op3=[]  op4=[(23198,1,400)]
 223  Broken Home                                        | op3=[]  op4=[]
 224  Heart of Stone                                     | op3=[]  op4=[(26245,30,200)]
 225  Dishonour among Thieves                            | op3=[]  op4=[]
 226  Dimension of Disaster                              | op3=[]  op4=[]
 227  Dimension of Disaster: Coin of the Realm           | op3=[]  op4=[]
 228  Dimension of Disaster: Shield of Arrav             | op3=[]  op4=[]
 229  Dimension of Disaster: Demon Slayer                | op3=[]  op4=[]
 230  Dimension of Disaster: Defender of Varrock         | op3=[]  op4=[]
 231  Dimension of Disaster: Curse of Arrav              | op3=[]  op4=[]
 232  Crocodile Tears                                    | op3=[]  op4=[]
 233  The Light Within                                   | op3=[]  op4=[]
 234  The Lord of Vampyrium                              | op3=[]  op4=[]
 235  Call of the Ancestors                              | op3=[]  op4=[]
 236  Tutorial                                           | op3=[]  op4=[]
 237  Nomad's Elegy                                      | op3=[]  op4=[]
 238  River of Blood                                     | op3=[]  op4=[]
 239  Kindred Spirits                                    | op3=[]  op4=[]
 240  Gower Quest                                        | op3=[]  op4=[]
 241  Children of Mah                                    | op3=[]  op4=[]
 242  Impressing the Locals                              | op3=[]  op4=[]
 243  Sliske's Endgame                                   | op3=[]  op4=[]
 244  Back to the Freezer                                | op3=[]  op4=[]
 245  Hero's Welcome                                     | op3=[]  op4=[]
 246  Our Man in the North                               | op3=[]  op4=[]
 247  The Jack of Spades                                 | op3=[]  op4=[]
 248  'Phite Club                                        | op3=[]  op4=[]
 249                                                     | op3=[]  op4=[]
 250  Evil Dave's Big Day Out                            | op3=[]  op4=[]
 251  Ghost Stories of Gielinor                          | op3=[]  op4=[]
 252  Pieces of Hate                                     | op3=[]  op4=[]
 253  You Are It                                         | op3=[]  op4=[]
 254  The Needle Skips                                   | op3=[]  op4=[]
 255  Violet is Blue                                     | op3=[]  op4=[]
 256  Tutorial                                           | op3=[]  op4=[(20940,1,120)]
 257  Cook's Assistant                                   | op3=[(2492,1,2)]  op4=[]
 258  Vampyre Slayer                                     | op3=[]  op4=[(9655,1,3)]
 259  Prince Ali Rescue                                  | op3=[(2388,10,110)]  op4=[]
 260  Doric's Quest                                      | op3=[(2261,10,100)]  op4=[]
 261  The Knight's Sword                                 | op3=[(2547,1,7)]  op4=[]
 262  Lost City                                          | op3=[(2551,1,6)]  op4=[]
 263  Witch's House                                      | op3=[(2276,1,7)]  op4=[]
 264  Heroes' Quest                                      | op3=[(2618,1,15)]  op4=[]
 265  Scorpion Catcher                                   | op3=[(2747,1,6)]  op4=[]
 266  Monk's Friend                                      | op3=[(2370,10,80)]  op4=[]
 267  Tree Gnome Village                                 | op3=[(2661,1,9)]  op4=[]
 268  Fight Arena                                        | op3=[(2595,1,14)]  op4=[]
 269  The Grand Tree                                     | op3=[(2740,5,160)]  op4=[]
 270  Underground Pass                                   | op3=[(2426,1,10)]  op4=[]
 271  Observatory Quest                                  | op3=[(2796,1,7)]  op4=[]
 272  The Tourist Trap                                   | op3=[(2501,1,30)]  op4=[]
 273  The Dig Site                                       | op3=[(2205,1,9)]  op4=[]
 274  Legends' Quest                                     | op3=[(2265,1,75)]  op4=[]
 275  Elemental Workshop I                               | op3=[(2675,1,524288)]  op4=[]
 276  Priest in Peril                                    | op3=[(2171,1,60)]  op4=[]
 277  Tai Bwo Wannai Trio                                | op3=[(2523,2,6)]  op4=[]
 278  Regicide                                           | op3=[(2102,1,15)]  op4=[]
 279  Shades of Mort'ton                                 | op3=[(2620,5,85)]  op4=[]
 280  The Fremennik Trials                               | op3=[(2262,1,10)]  op4=[]
 281  Horror from the Deep                               | op3=[]  op4=[(11413,1,10)]
 282  Throne of Miscellania                              | op3=[(2236,10,100)]  op4=[]
 283  In Search of the Myreque                           | op3=[(2696,5,105)]  op4=[]
 284  Between a Rock...                                  | op3=[]  op4=[(12797,10,110)]
 285  The Feud                                           | op3=[]  op4=[(9712,1,28)]
 286  The Golem                                          | op3=[]  op4=[(13639,1,10)]
 287  Icthlarin's Little Helper                          | op3=[]  op4=[(10987,1,26)]
 288  The Giant Dwarf                                    | op3=[]  op4=[(13266,10,50)]
 289  Mourning's End Part I                              | op3=[(2777,1,8)]  op4=[]
 290  Forgettable Tale of a Drunken Dwarf                | op3=[]  op4=[(11917,10,140)]
 291  Garden of Tranquillity                             | op3=[]  op4=[(13397,10,60)]
 292  Wanted!                                            | op3=[]  op4=[(12923,1,11)]
 293  Mourning's End Part II                             | op3=[]  op4=[(10560,10,60)]
 294  Rat Catchers                                       | op3=[]  op4=[(11975,5,127)]
 295  The Hand in the Sand                               | op3=[]  op4=[(14030,10,160)]
 296  Cabin Fever                                        | op3=[(2326,10,140)]  op4=[]
 297  A Fairy Tale I - Growing Pains                     | op3=[]  op4=[(13286,10,90)]
 298  Recipe for Disaster: Another Cook's Quest          | op3=[]  op4=[(12708,1,2)]
 299  Recipe for Disaster: Freeing the Mountain Dwarf    | op3=[]  op4=[(12750,10,60)]
 300  Recipe for Disaster: Freeing the Goblin Generals   | op3=[]  op4=[(12725,5,40)]
 301  Recipe for Disaster: Freeing Pirate Pete           | op3=[]  op4=[(12753,10,110)]
 302  Recipe for Disaster: Freeing the Lumbridge Sage    | op3=[]  op4=[(12754,1,5)]
 303  Recipe for Disaster: Freeing Evil Dave             | op3=[]  op4=[(12736,1,5)]
 304  Recipe for Disaster: Freeing Skrach Uglogwee       | op3=[]  op4=[(12762,10,170)]
 305  Recipe for Disaster: Freeing Sir Amik Varze        | op3=[]  op4=[(12768,5,20)]
 306  Recipe for Disaster: Freeing King Awowogei         | op3=[]  op4=[(12772,5,50)]
 307  Recipe for Disaster: Defeating the Culinaromancer  | op3=[]  op4=[(12708,1,5)]
 308  Swan Song                                          | op3=[]  op4=[(11269,10,200)]
 309  A Fairy Tale II - Cure a Queen                     | op3=[]  op4=[(12056,5,90)]
 310  The Eyes of Glouphrie                              | op3=[]  op4=[(12813,1,60)]
 311  The Darkness of Hallowvale                         | op3=[]  op4=[(10204,10,320)]
 312  The Slug Menace                                    | op3=[]  op4=[(12626,1,14)]
 313  Elemental Workshop II                              | op3=[]  op4=[(13674,1,11)]
 314  My Arm's Big Adventure                             | op3=[]  op4=[(9987,10,320)]
 315  Enlightened Journey                                | op3=[]  op4=[(12529,5,200)]
 316  Contact!                                           | op3=[]  op4=[(10292,10,130)]
 317  The Great Brain Robbery                            | op3=[(2082,10,130)]  op4=[]
 318  Olaf's Quest                                       | op3=[]  op4=[(11517,10,80)]
 319  Grim Tales                                         | op3=[]  op4=[(13606,1,60)]
 320  The Path of Glouphrie                              | op3=[]  op4=[(10474,1,200)]
 321  Back to my Roots                                   | op3=[]  op4=[(13194,1,65)]
 322  Land of the Goblins                                | op3=[]  op4=[(13322,1,18)]
 323  Dealing with Scabaras                              | op3=[]  op4=[(13430,100,700)]
 324  Wolf Whistle                                       | op3=[]  op4=[(12334,5,35)]
 325  As a First Resort                                  | op3=[]  op4=[(14041,1,200)]
 326  Kennith's Concerns                                 | op3=[]  op4=[(11334,5,100)]
 327  Legacy of Seergaze                                 | op3=[]  op4=[(13978,10,500)]
 328  Perils of Ice Mountain                             | op3=[]  op4=[(11095,10,150)]
 329  TokTz-Ket-Dill                                     | op3=[]  op4=[(11386,5,63)]
 330  Smoking Kills                                      | op3=[]  op4=[(9054,10,250)]
 331  Spirit of Summer                                   | op3=[]  op4=[(12013,5,75)]
 332  Hunt for Red Raktuber                              | op3=[]  op4=[(13734,10,140)]
 333  The Temple at Senntisten                           | op3=[]  op4=[(11105,10,90)]
 334  Blood Runs Deep                                    | op3=[]  op4=[(10871,3,147)]
 335  The Blood Pact                                     | op3=[]  op4=[(10826,10,60)]
 336  Buyers and Cellars                                 | op3=[]  op4=[(9022,5,10)]
 337  A Fairy Tale III - Battle at Ork's Rift            | op3=[]  op4=[(9928,10,180)]
 338  Elemental Workshop III                             | op3=[]  op4=[(12504,1,5)]
 339  Quiet Before the Swarm                             | op3=[]  op4=[(13034,5,90)]
 340  Love Story                                         | op3=[]  op4=[(12598,5,150)]
 341  Gunnar's Ground                                    | op3=[]  op4=[(9188,5,100)]
 342  The Void Stares Back                               | op3=[]  op4=[(13118,2,40)]
 343  Do No Evil                                         | op3=[]  op4=[(9324,10,315)]
 344  Elemental Workshop IV                              | op3=[]  op4=[(12170,1,9)]
 345  Deadliest Catch                                    | op3=[]  op4=[(9212,5,50)]
 346  Salt in the Wound                                  | op3=[]  op4=[(9199,5,250)]
 347  The Branches of Darkmeyer                          | op3=[]  op4=[(11020,1,170)]
 348  A Towering Feast                                   | op3=[]  op4=[(14466,6,29)]
 349  The Firemaker's Curse                              | op3=[]  op4=[(11683,5,270)]
 350  Let Them Eat Pie                                   | op3=[]  op4=[(13240,5,40)]
 351  The Elder Kiln                                     | op3=[]  op4=[(9091,5,170)]
 352  Song from the Depths                               | op3=[]  op4=[(12689,5,75)]
 353  Carnillean Rising                                  | op3=[]  op4=[(12989,5,100)]
 354  Philipe's Big Adventure                            | op3=[]  op4=[]
 355  Stolen Hearts                                      | op3=[]  op4=[(11870,5,105)]
 356  Diamond in the Rough                               | op3=[]  op4=[(9429,5,120)]
 357  What's Mine is Yours                               | op3=[]  op4=[(9998,4,55)]
 358  Rune Mysteries                                     | op3=[]  op4=[(16863,1,170)]
 359  Rune Memories                                      | op3=[]  op4=[(16834,1,120)]
 360  The Brink of Extinction                            | op3=[]  op4=[(16905,5,225)]
 361  The World Wakes                                    | op3=[]  op4=[(18021,1,250)]
 362  Bringing Home the Bacon                            | op3=[]  op4=[(18565,3,75)]
 363  The Death of Chivalry                              | op3=[]  op4=[(19966,5,170)]
 364  Missing, Presumed Death                            | op3=[]  op4=[(20621,1,100)]
 365  One of a Kind                                      | op3=[]  op4=[(21714,1,190)]
 366  Fate of the Gods                                   | op3=[]  op4=[(21841,5,175)]
 367  A Shadow over Ashdale                              | op3=[]  op4=[(22270,5,100)]
 368  The Mighty Fall                                    | op3=[]  op4=[(4291,5,200)]
 369  Broken Home                                        | op3=[]  op4=[(25561,5,50)]
 370  Dishonour among Thieves                            | op3=[]  op4=[(27012,1,120)]
 371  Dimension of Disaster                              | op3=[]  op4=[(27209,5,50)]
 372  Dimension of Disaster: Coin of the Realm           | op3=[]  op4=[(27209,5,40)]
 373  Dimension of Disaster: Shield of Arrav             | op3=[]  op4=[(27264,5,15)]
 374  Dimension of Disaster: Demon Slayer                | op3=[]  op4=[(27272,5,70)]
 375  Dimension of Disaster: Defender of Varrock         | op3=[]  op4=[(27284,5,45)]
 376  Dimension of Disaster: Curse of Arrav              | op3=[]  op4=[(27291,5,110)]
 377  Hero's Welcome                                     | op3=[]  op4=[(28509,5,105)]
 378  The Light Within                                   | op3=[]  op4=[(29077,5,120)]
 379  The Lord of Vampyrium                              | op3=[]  op4=[(29424,5,250)]
 380  Call of the Ancestors                              | op3=[]  op4=[(20929,5,200)]
 381  Beneath Cursed Tides                               | op3=[]  op4=[(30071,5,200)]
 382  Nomad's Elegy                                      | op3=[]  op4=[(30520,10,170)]
 383  River of Blood                                     | op3=[]  op4=[(31173,5,220)]
 384  Kindred Spirits                                    | op3=[]  op4=[(31410,5,140)]
 385  Gower Quest                                        | op3=[]  op4=[(32465,5,80)]
 386  Children of Mah                                    | op3=[]  op4=[(34373,5,135)]
 387  Impressing the Locals                              | op3=[]  op4=[(33059,1,3)]
 388  Sliske's Endgame                                   | op3=[]  op4=[(34589,1,2)]
 389  Back to the Freezer                                | op3=[]  op4=[(35026,5,110)]
 390  The Jack of Spades                                 | op3=[]  op4=[(36140,5,100)]
 391  Crocodile Tears                                    | op3=[]  op4=[(36116,5,100)]
 392  Our Man in the North                               | op3=[]  op4=[(36134,5,100)]
 393  'Phite Club                                        | op3=[]  op4=[(36148,5,100)]
 394  Ghost Stories of Gielinor                          | op3=[]  op4=[(38593,1,2)]
 395  Evil Dave's Big Day Out                            | op3=[]  op4=[(38799,5,200)]
 396  The G-Nome Project                                 | op3=[]  op4=[(38874,5,100)]
 397  Pieces of Hate                                     | op3=[]  op4=[(39992,5,255)]
 398  You Are It                                         | op3=[]  op4=[(40405,10,60)]
 399  The Needle Skips                                   | op3=[]  op4=[(42537,10,100)]
 400  Violet is Blue                                     | op3=[]  op4=[(5325,1,2)]
 401  Chef's Assistant                                   | op3=[]  op4=[(43337,5,60)]
 402  Curse of the Black Stone                           | op3=[]  op4=[(43437,10,200)]
 403  Bar Crawl (miniquest)                              | op3=[]  op4=[(43792,1,2)]
 404  Enter the Abyss (miniquest)                        | op3=[(3149,1,4)]  op4=[]
 405  The Curse of Zaros (miniquest)                     | op3=[]  op4=[(35384,1,63)]
 406  Lair of Tarn Razorlor (miniquest)                  | op3=[]  op4=[(16282,3,3)]
 407  The General's Shadow (miniquest)                   | op3=[]  op4=[(9683,5,30)]
 408  The Hunt for Surok (miniquest)                     | op3=[]  op4=[(15344,1,10)]
 409  One Foot in the Grave (miniquest)                  | op3=[]  op4=[(43791,1,1020)]
 410  Hopespear's Will (miniquest)                       | op3=[]  op4=[(43790,1,63)]
 411  Desert Slayer Dungeon (miniquest)                  | op3=[]  op4=[(43793,1,15)]
 412  Purple Cat (miniquest)                             | op3=[]  op4=[(45860,1,2)]
 413  From Tiny Acorns (miniquest)                       | op3=[]  op4=[(9022,15,20)]
 414  Lost Her Marbles (miniquest)                       | op3=[]  op4=[(9022,25,30)]
 415  A Guild of Our Own (miniquest)                     | op3=[]  op4=[(9022,35,40)]
 416  Three's Company (saga)                             | op3=[]  op4=[(45855,1,3)]
